ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year
33887,SP,29,HERM AXLINE,,15,USA,"Manistique, MI","5' 9""",140 lbs,Right,Right,Manistique,-,Average,HS Freshman,3,NEU,83-85 Mph,Over the Top,Normal,9,9,48,45,18,4,2,0,15,13,0,6,6,0.4,0.375,0.578,9.1,7.2,0.178,0.393,0.953,0.429,0,0.3,0,7,4,15,15,8,3,0,0,0,113.2,101,4,34,33,38,120,2.61,0.287,1.22,11.2,0.3,8,3,9.5,3.2,0,0,0,0,2.6,0,3.8,4,Slot,Extremely Hard,Average,1935
33997,2B,20,JOE BAILEY,,15,USA,"Ithaca, NY","5' 10""",145 lbs,Right,Right,Friendship,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,110,93,52,13,5,1,30,43,9,3,19,0.559,0.589,0.839,48,24,0.28,0.578,1.427,0.554,0,2.5,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33895,CF,23,FREDDIE BATTEN,,14,USA,"Haverhill, MA","5' 10""",145 lbs,Left,Left,Haverhill,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,21,21,109,91,37,10,2,1,20,34,16,4,13,0.407,0.5,0.593,29.9,14.1,0.187,0.471,1.093,0.419,0,1.5,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33975,CF,12,AL BELL,,15,USA,"Lebanon, IL","5' 11""",160 lbs,Right,Right,Lebanon,-,Average,HS Freshman,1,FB,80-83 Mph,Over the Top,Normal,26,26,134,114,52,13,0,1,31,37,16,4,14,0.456,0.523,0.596,38.3,15.7,0.14,0.482,1.119,0.464,0,1.9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33948,C,25,KEN BENSON,,15,USA,"Richmond, VA","5' 9""",165 lbs,Right,Right,Varina,-,Average,HS Freshman,1,FB,80-83 Mph,Over the Top,Normal,23,23,117,96,41,11,0,1,28,34,18,5,12,0.427,0.526,0.573,31.6,14.2,0.146,0.48,1.099,0.444,0,1.7,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33932,CF,15,RANDY BIVENS,,15,USA,"Fairport Harbor, OH","5' 9""",145 lbs,Left,Left,Fairport Harbor,-,Average,HS Freshman,1,FB,80-83 Mph,Sidearm,Normal,26,26,134,106,42,13,3,4,26,42,19,7,20,0.396,0.5,0.689,43.7,16.8,0.292,0.497,1.189,0.388,0,2.1,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33955,LF,8,FRANK BOOTH,,15,CAN,"Ottawa, ON","5' 10""",155 lbs,Left,Left,Gulfport,-,Average,HS Freshman,3,NEU,75-80 Mph,Normal (3/4),Normal,26,26,132,106,40,15,1,5,28,41,21,10,21,0.377,0.477,0.679,37.2,13.6,0.302,0.482,1.157,0.372,0,1.9,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average,1935
33961,SP,9,ED BOWMAN,,15,USA,"Wharton, TX","6' 0""",155 lbs,Switch,Right,Wharton,-,Average,HS Freshman,3,NEU,83-85 Mph,Normal (3/4),Normal,22,22,112,104,36,10,0,0,24,25,4,12,10,0.346,0.369,0.442,17.7,6.4,0.096,0.352,0.812,0.383,0,0.4,0,9,4,12,12,5,4,0,0,0,93.1,94,3,40,36,41,65,3.47,0.288,1.45,13.1,0.3,9.1,4,6.3,1.6,0,0,0,0,3.58,0,1.8,1.9,Slot,Hard,Average,1935
33891,RF,4,JESSE BROCK,,15,USA,"Evanston, IL","5' 7""",130 lbs,Left,Left,Westcott Vocational,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,124,95,42,14,4,2,29,36,19,3,20,0.442,0.554,0.737,44.7,19.8,0.295,0.528,1.291,0.44,0,2.3,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33909,SP,5,PAUL BROWN,,14,USA,"East Orange, NJ","5' 10""",145 lbs,Left,Left,East Orange,-,Average,HS Freshman,4,NEU,83-85 Mph,Normal (3/4),Normal,7,7,37,34,13,5,0,0,13,12,1,3,5,0.382,0.405,0.529,7.2,8.1,0.147,0.402,0.935,0.406,0,0.3,0,3,2,14,10,5,2,0,0,0,69,63,3,23,22,24,62,2.87,0.283,1.26,11.6,0.4,8.2,3.1,8.1,2.6,0,0,0,0,3.1,0,1.7,2,Slot,Extremely Hard,Low,1935
33913,CF,3,DAVE BRYANT,,15,USA,"Sacramento, CA","5' 9""",145 lbs,Left,Left,Christian Brothers,-,Average,HS Freshman,1,NEU,80-83 Mph,Normal (3/4),Normal,26,26,134,109,48,17,1,5,32,43,20,8,23,0.44,0.526,0.752,46.8,19.4,0.312,0.528,1.279,0.439,0,2.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33925,3B,3,MARTY BURNETT,,14,USA,"Pittsburgh, PA","5' 11""",165 lbs,Right,Right,Peabody,-,Average,HS Freshman,1,NEU,80-83 Mph,Normal (3/4),Normal,24,24,124,106,50,15,3,1,27,36,12,5,19,0.472,0.512,0.698,41.6,17.5,0.226,0.498,1.211,0.476,0,2,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
34244,SS,20,WALLY BURNETT,,14,USA,"Baltimore, MD","5' 9""",140 lbs,Switch,Right,Friends,-,Average,HS Freshman,1,FB,80-83 Mph,Over the Top,Normal,26,26,131,110,46,12,4,1,25,38,17,6,17,0.418,0.496,0.627,37.7,13.9,0.209,0.475,1.123,0.433,0,1.8,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
34223,SP,27,BOB BUTTS,,15,USA,"Camden, NJ","5' 9""",140 lbs,Right,Right,Passaic,-,Average,HS Freshman,3,FB,85-87 Mph,Over the Top,Normal,24,24,123,117,46,8,0,2,26,39,2,4,10,0.393,0.402,0.513,24.7,8.9,0.12,0.394,0.914,0.389,0,0.8,0,2,1,17,10,4,2,0,0,0,77.2,67,3,24,20,20,70,2.32,0.263,1.12,10.3,0.3,7.8,2.3,8.1,3.5,0,0,0,0,2.75,0,2.2,2.5,Slot,Extremely Hard,Low,1935
33940,3B,34,MAURY CAMPBELL,,16,USA,"Decatur, IL","5' 6""",135 lbs,Right,Right,Decatur,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,25,25,126,108,57,15,6,1,35,47,14,5,22,0.528,0.589,0.806,53.5,24.1,0.278,0.579,1.394,0.549,0,2.9,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average,1935
33920,2B,29,HERB CAREY,,15,USA,"West Point, VA","5' 9""",135 lbs,Right,Right,West Point,-,Average,HS Freshman,4,NEU,80-83 Mph,Normal (3/4),Normal,22,22,112,86,47,11,6,5,35,43,17,3,22,0.547,0.625,0.988,62,34.2,0.442,0.643,1.613,0.519,0,3.2,0,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33980,C,21,GROVER CARLSON,,15,USA,"Stillman Valley, IL","5' 9""",155 lbs,Right,Right,Stillman Valley,-,Average,HS Freshman,1,NEU,80-83 Mph,Over the Top,Normal,20,20,104,86,39,10,4,0,25,31,15,4,14,0.453,0.544,0.663,34.8,17.4,0.209,0.514,1.206,0.476,0,1.8,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
34201,CF,21,HARRY CARR,,14,USA,"Akron, OH","5' 9""",135 lbs,Right,Right,Buchtel,-,Average,HS Freshman,1,NEU,80-83 Mph,Over the Top,Normal,26,26,134,115,54,14,5,2,31,40,14,5,21,0.47,0.53,0.73,49.1,19.2,0.261,0.525,1.261,0.477,0,2.4,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33900,RF,11,ERNIE CHAMNESS,,15,USA,"Torrington, CT","5' 10""",155 lbs,Left,Left,Torrington,-,Average,HS Freshman,1,FB,80-83 Mph,Over the Top,Normal,22,22,113,93,41,14,3,1,26,38,16,6,18,0.441,0.523,0.688,35.5,16,0.247,0.504,1.211,0.46,0,1.9,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33914,CF,15,PERSHING CHRISTIAN,,15,USA,"Oakland, CA","5' 5""",125 lbs,Left,Left,Fremont,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,124,98,42,14,5,4,31,42,17,7,23,0.429,0.516,0.796,44.1,18.1,0.367,0.527,1.312,0.422,0,2.3,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33969,3B,13,ZACHARY CLARK,,15,USA,"New York, NY","6' 0""",165 lbs,Right,Right,Monroe,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,113,97,51,13,0,1,32,37,15,6,14,0.526,0.584,0.691,41.4,21.5,0.165,0.55,1.275,0.549,0,2.3,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33924,SS,46,ERNIE CLAYTON,,15,USA,"San Diego, TX","5' 11""",150 lbs,Right,Right,San Diego,-,Average,HS Freshman,1,NEU,80-83 Mph,Over the Top,Normal,23,23,116,97,45,10,4,2,31,42,13,1,16,0.464,0.518,0.711,40.8,18.7,0.247,0.506,1.229,0.443,0,1.9,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33942,C,22,RUDY CONNER,,15,USA,"Maynardville, TN","5' 9""",165 lbs,Right,Right,Maynardville,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,121,100,44,10,0,3,30,38,16,7,13,0.44,0.517,0.63,35.4,15.9,0.19,0.489,1.147,0.446,0,1.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33966,SP,16,ART COURTNEY,,15,USA,"Westerville, OH","5' 9""",135 lbs,Switch,Right,Westerville,-,Average,HS Freshman,4,EX GB,85-87 Mph,Normal (3/4),Groundballer,24,24,120,113,42,11,0,0,27,29,1,9,11,0.372,0.373,0.469,20.3,7.1,0.097,0.358,0.842,0.393,0,0.4,0,1,1,18,10,7,0,0,0,0,81.2,54,1,15,13,25,105,1.43,0.26,0.97,8.9,0.1,6,2.8,11.6,4.2,0,0,0,0,1.78,0,3.6,3.9,Slot,Extremely Hard,Average,1935
33952,SS,15,JIMMIE CRANE,,15,USA,"Williamstown, NJ","5' 9""",140 lbs,Right,Right,Williamstown,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,24,24,120,103,47,13,3,0,24,42,12,1,16,0.456,0.517,0.641,41.8,17.9,0.184,0.497,1.157,0.452,0,1.9,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33949,SP,18,HENRY CRONCE,,14,USA,"Versailles, IN","5' 8""",125 lbs,Right,Right,Versailles,-,Average,HS Freshman,3,NEU,84-86 Mph,Normal (3/4),Normal,8,8,41,36,13,8,2,3,10,12,1,7,13,0.361,0.375,0.944,11.6,10.8,0.583,0.497,1.319,0.357,0,0.6,0,7,3,12,12,6,3,0,0,0,93.2,85,4,32,29,32,86,2.79,0.28,1.25,11.5,0.4,8.2,3.1,8.3,2.7,0,0,0,0,3.04,0,2.5,2.8,Slot,Extremely Hard,Average,1935
33959,1B,35,FRANK CUNNINGHAM,,15,USA,"Stamford, CT","6' 1""",185 lbs,Left,Left,Stamford,-,Average,HS Freshman,1,NEU,80-83 Mph,Normal (3/4),Normal,23,23,118,95,49,17,0,4,34,38,16,2,21,0.516,0.61,0.821,51.8,28.6,0.305,0.6,1.431,0.506,0,2.9,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33992,3B,71,VIC DAY,,15,USA,"Akron, OH","5' 5""",135 lbs,Switch,Right,North,-,Average,HS Freshman,1,FB,80-83 Mph,Over the Top,Normal,21,21,106,87,38,11,0,4,23,38,14,4,15,0.437,0.519,0.701,34,17,0.264,0.507,1.22,0.425,0,1.8,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33923,SS,93,KARL DIXON,,15,USA,"Carey, OH","5' 7""",130 lbs,Right,Right,Carey,-,Average,HS Freshman,1,FB,80-83 Mph,Sidearm,Normal,23,23,117,101,46,12,5,1,28,38,8,1,18,0.455,0.491,0.703,35.9,14.5,0.248,0.488,1.194,0.441,0,1.8,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average,1935
33889,SP,11,JACK DONAGHY,,15,USA,"Portland, OR","5' 10""",145 lbs,Left,Left,Portland Lutheran,-,Average,HS Freshman,3,GB,83-85 Mph,Normal (3/4),Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,9,2,0,0,0,113.2,96,4,30,27,27,99,2.14,0.261,1.08,9.9,0.3,7.6,2.1,7.8,3.7,0,0,0,0,2.68,0,3.7,4.6,Slot,Extremely Hard,Average,1935
34354,3B,23,PIP DUNCAN,,15,USA,"Healdsburg, CA","5' 9""",155 lbs,Right,Right,Healdsburg,-,Average,HS Freshman,3,NEU,-,Normal (3/4),Normal,22,22,110,87,38,11,2,3,26,37,16,5,16,0.437,0.532,0.713,37.1,18.6,0.276,0.518,1.245,0.432,0,1.9,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33919,CF,24,HAPPY ELLISON,,15,USA,"Cincinnati, OH","6' 0""",155 lbs,Switch,Right,Sycamore,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,134,116,64,17,4,2,34,60,11,3,23,0.552,0.59,0.819,60.9,27.4,0.267,0.59,1.409,0.544,0,3.2,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33988,C,22,WALT EVANS,,15,USA,"Blue Island, IL","5' 9""",155 lbs,Right,Right,Blue Island,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,104,85,35,14,1,2,26,30,15,4,17,0.412,0.51,0.671,30.6,14.5,0.259,0.493,1.18,0.418,0,1.6,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33903,C,27,VERNON FLANAGAN,,15,USA,"Lockland, OH","6' 0""",175 lbs,Right,Right,Lockland,-,Average,HS Freshman,1,EX FB,80-83 Mph,Normal (3/4),Normal,21,21,109,87,34,13,0,4,21,31,16,6,17,0.391,0.495,0.678,31.5,14.4,0.287,0.486,1.173,0.385,0,1.6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33918,RF,18,DICK GALLOWAY,,15,USA,"Export, PA","5' 11""",155 lbs,Left,Left,Export,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,23,23,119,95,43,13,1,2,25,32,19,7,16,0.453,0.552,0.674,38.6,17.4,0.221,0.513,1.225,0.477,0,2,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33968,3B,24,BERNIE GLEASON,,15,USA,"Malden, MO","5' 8""",140 lbs,Right,Right,Malden,-,Average,HS Freshman,1,NEU,80-83 Mph,Normal (3/4),Normal,23,23,119,97,46,16,5,2,31,34,17,2,23,0.474,0.564,0.804,46.1,21.1,0.33,0.561,1.368,0.473,0,2.5,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33963,3B,43,HAL GODFREY,,15,USA,"Fairland, OK","5' 7""",145 lbs,Right,Right,Fairland,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,112,91,42,7,1,1,26,39,15,6,9,0.462,0.527,0.593,33,14.9,0.132,0.477,1.121,0.471,0,1.6,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low,1935
33989,C,2,BEN GOLDSMITH,,15,USA,"Northbridge, MA","5' 8""",160 lbs,Right,Right,Northbridge,-,Average,HS Freshman,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,104,86,35,11,0,1,24,26,14,7,12,0.407,0.5,0.57,26.4,12.5,0.163,0.46,1.07,0.436,0,1.3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
34325,LF,11,IRV GOLDSTEIN,,15,USA,"New York, NY","5' 9""",155 lbs,Right,Right,Branford,-,Average,HS Freshman,1,FB,80-83 Mph,Over the Top,Normal,22,22,111,88,38,10,3,2,21,36,15,3,15,0.432,0.519,0.682,34.9,16,0.25,0.493,1.2,0.424,0,1.7,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
33910,SP,7,GUS GOODRICH,,15,USA,"Maryville, IL","6' 3""",170 lbs,Right,Right,Maryville,-,Average,HS Freshman,3,EX GB,83-85 Mph,Over the Top,Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,8,2,0,0,0,91.1,64,0,14,12,17,118,1.18,0.276,0.89,8,0,6.3,1.7,11.6,6.9,0,0,0,0,1.17,0,5.3,5.1,Slot,Extremely Hard,Average,1935
33907,SP,18,ROY GOSSARD,,15,USA,"Naperville, IL","5' 11""",150 lbs,Right,Right,Naperville,-,Average,HS Freshman,4,NEU,83-85 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,7,3,0,0,0,108.2,93,4,31,27,29,77,2.24,0.247,1.12,10.3,0.3,7.7,2.4,6.4,2.7,0,0,0,0,3.12,0,2.8,4.1,Slot,Extremely Hard,Average,1935
33974,SP,6,SAM GOULDING,,15,USA,"Springfield, KY","5' 10""",140 lbs,Right,Right,Springfield,-,Average,HS Freshman,3,GB,84-86 Mph,Normal (3/4),Groundballer,5,5,29,25,10,2,0,2,11,10,0,5,4,0.4,0.37,0.72,5,5.9,0.32,0.406,1.09,0.4,0,0.2,0,8,4,11,7,4,1,0,0,0,54.2,40,0,13,9,11,63,1.48,0.274,0.93,8.7,0,6.6,1.8,10.4,5.7,0,0,0,0,1.61,0,2.6,2.3,Slot,Extremely Hard,Low,1935
33987,1B,65,BILL GRAY,,15,USA,"Elkins, WV","5' 11""",170 lbs,Left,Left,Elkins,-,Average,HS Freshman,1,NEU,80-83 Mph,Normal (3/4),Normal,26,26,133,109,47,17,1,2,29,35,19,5,20,0.431,0.519,0.661,40.8,15.3,0.229,0.496,1.18,0.437,0,2.1,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935
