ID,POS,#,Name,Nickname,Age,NAT,City,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year,Note
29499,LF,15,Walt Austin,,17,USA,"Brooklyn, NY","6' 1""",175 lbs,Left,Left,Tilden,Bluegrass State,Average,HS Senior,1,EX FB,80-83,OTT,Normal,100,100,510,420,187,44,2,14,120,164,51,26,60,0.445,0.528,0.66,158.8,16.9,0.214,0.504,1.187,0.449,0,8.3,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Hard,Average,Career,
29237,3B,71,Earl Avery,,17,USA,"Denver, CO","6' 1""",170 lbs,Right,Right,Pueblo,Topeka State,Average,HS Senior,1,NEU,80-83,4-Mar,Normal,74,74,374,304,132,35,10,16,91,121,46,18,61,0.434,0.51,0.773,127.8,17.3,0.339,0.519,1.283,0.417,0,6.6,0,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
30597,RF,27,Joe Ayers,,21,USA,"Bridgewater, MA","6' 2""",190 lbs,Right,Right,Eastern State,-,Great,CO Junior,1,FB,84-86,4-Mar,Normal,245,245,1232,1083,348,53,7,18,215,280,129,86,78,0.321,0.395,0.433,204.6,7.2,0.112,0.367,0.828,0.336,0,5.4,0,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average,Career,
30898,2B,3,Ed Baehr,,21,USA,"Seattle, WA","6' 0""",175 lbs,Right,Right,Panhandle State,-,Fair,CO Junior,1,FB,84-86,OTT,Normal,249,249,1255,1079,384,70,28,9,238,319,148,95,107,0.356,0.437,0.498,268.1,9.5,0.142,0.41,0.934,0.381,0,10.2,0,193,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Easy,Average,Career,
30602,SS,14,Charlie Bailey,,20,USA,"DeKalb, IL","6' 0""",160 lbs,Right,Right,Central Ohio,-,Great,CO Junior,1,EX FB,80-83,4-Mar,Normal,224,224,1127,998,308,45,10,20,167,249,105,84,75,0.309,0.374,0.434,187.3,6.7,0.125,0.355,0.808,0.318,0,3.8,0,185,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$950 ,Extremely Hard,Average,Career,
29086,CF,46,Ed Bailey,,17,USA,"Lowellville, OH","5' 10""",160 lbs,Left,Left,Geneva,Ellery College,Average,HS Senior,1,NEU,80-83,4-Mar,Normal,45,45,231,188,77,18,11,7,47,73,30,15,36,0.41,0.509,0.734,77.2,16,0.324,0.509,1.243,0.422,0,3.9,0,50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
30577,C,27,Aubrey Banks,,20,USA,"Farragut, TN","6' 4""",200 lbs,Right,Right,Charleston Tech,-,Great,CO Junior,1,GB,85-87,SIDE,GB'er,229,229,1163,990,317,54,2,28,205,265,142,100,84,0.32,0.408,0.464,206,7.8,0.143,0.383,0.872,0.331,0,6.8,0,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average,Career,
29572,SS,29,Frank Barnes,,17,USA,"Farragut, TN","6' 4""",175 lbs,Right,Right,Spring City,Columbian College,Average,HS Senior,1,NEU,85-87,SIDE,Normal,95,95,484,414,172,31,9,10,112,160,58,26,50,0.415,0.486,0.606,133.3,13.3,0.191,0.468,1.093,0.423,0,6.4,0,58,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
29269,3B,22,Bob Batiste,,17,USA,"Aurora, IL","6' 2""",180 lbs,Left,Right,Enumclaw,Lane State,Average,HS Senior,1,NEU,85-87,4-Mar,Normal,78,78,397,323,144,31,2,13,96,138,51,25,46,0.446,0.533,0.675,126.2,17.7,0.229,0.512,1.208,0.452,0,6.8,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$4k,Extremely Hard,Average,Career,
29567,CF,9,Joe Bender,,17,USA,"St. Louis, MO","6' 2""",170 lbs,Right,Right,McLeansboro,Tallmadge State,Average,HS Senior,1,NEU,85-87,4-Mar,Normal,95,95,485,388,160,33,8,12,101,140,63,26,53,0.412,0.511,0.631,140,14.1,0.219,0.481,1.142,0.417,0,7,0,75,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
29618,CF,2,Dallas Berry,The Can-Do Kid,17,USA,"Wellsville, MO","6' 2""",170 lbs,Left,Left,Wellsville,Graham College,Average,HS Senior,3,GB,84-86,OTT,GB'er,89,89,457,376,203,44,16,39,155,191,61,19,99,0.54,0.613,1.053,264.5,37.2,0.513,0.668,1.666,0.509,0,14,0,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
30586,LF,12,Don Berry,,21,USA,"Wellsville, MO","6' 2""",190 lbs,Switch,Right,Grange College,-,Great,CO Junior,1,GB,84-86,OTT,GB'er,234,234,1182,1050,409,80,5,52,273,346,98,49,137,0.39,0.442,0.624,303.6,12,0.234,0.451,1.066,0.371,0,13.8,0,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$12k,Easy,Average,Career,
29504,2B,13,Clint Betts,,18,USA,"Waco, TX","6' 2""",180 lbs,Right,Right,Mesquite,Eastern State,Average,HS Senior,1,FB,83-85,4-Mar,Normal,105,105,537,436,183,37,8,12,126,163,64,20,57,0.42,0.515,0.624,157.7,14.9,0.204,0.488,1.139,0.417,0,8.1,0,68,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
29335,C,18,Bill Bey,,21,USA,"New York, NY","6' 1""",200 lbs,Left,Right,Maryland State,-,Great,CO Junior,1,GB,83-85,4-Mar,GB'er,154,154,778,691,184,23,0,22,114,158,75,72,45,0.266,0.342,0.395,100.8,5.2,0.129,0.328,0.737,0.27,0,0.8,0,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$950 ,Normal,Average,Career,
30287,1B,25,Bill Bloom,,20,USA,"Newark, NJ","5' 10""",185 lbs,Right,Right,Maryland State,-,Great,CO Junior,1,FB,85-87,4-Mar,Normal,171,171,864,748,241,44,3,29,161,211,89,63,76,0.322,0.402,0.505,163.6,8.4,0.183,0.393,0.907,0.32,0,5.8,0,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$600 ,Very Easy,Average,Career,
29097,3B,17,Ed Bloom,,21,USA,"Wichita, KS","6' 0""",190 lbs,Right,Right,American Atlantic,-,Great,CO Junior,1,NEU,83-85,OTT,Normal,103,103,519,402,128,24,12,11,76,107,104,24,47,0.318,0.463,0.52,118.8,10.8,0.201,0.428,0.983,0.317,0,5.1,0,68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$21k,Normal,Average,Career,
30544,1B,6,Bobby Bowdler,,20,USA,"Angola, NY","6' 2""",200 lbs,Left,Left,Strub College,-,Average,CO Junior,1,EX FB,83-85,OTT,Normal,222,222,1118,986,352,45,5,14,197,291,99,76,64,0.357,0.417,0.455,204.7,8.3,0.098,0.385,0.872,0.372,0,6.7,0,38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$600 ,Normal,Average,Career,
30193,3B,16,Bill Brady,,21,USA,"Meadville, PA","5' 11""",175 lbs,Left,Right,St. Peter's Univeristy (TX),-,Fair,CO Junior,1,NEU,84-86,4-Mar,Normal,208,208,1053,937,312,45,5,12,190,241,95,74,62,0.333,0.395,0.43,172.8,7.1,0.097,0.365,0.825,0.35,0,4.5,0,47,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average,Career,
29500,SS,12,Len Brady,,18,USA,"Bristol, TN","6' 0""",165 lbs,Right,Right,Mars Hill,Central Ohio,Average,HS Senior,1,FB,83-85,4-Mar,Normal,87,87,441,386,163,33,5,9,103,135,43,19,47,0.422,0.481,0.604,126.9,13.8,0.181,0.464,1.084,0.425,0,5.7,0,81,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
29232,SP,4,Joe Brannon,,21,USA,"Hartford, CT","6' 1""",180 lbs,Left,Left,Tallmadge State,-,Good,CO Junior,6,NEU,85-87,4-Mar,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,27,10,0,0,0,351.2,327,20,123,114,111,357,2.92,0.305,1.25,11.2,0.5,8.4,2.8,9.1,3.2,0,0,0,0,2.86,0,10.3,10.2,$750 ,Easy,Average,Career,
29288,SP,32,Ike Brennan,,18,USA,"Jacobus, PA","5' 10""",145 lbs,Left,Left,Jacobus,Burleson College,Average,HS Senior,4,NEU,84-86,4-Mar,Normal,26,26,131,124,44,9,1,2,27,37,2,6,12,0.355,0.364,0.492,22.8,7.2,0.137,0.363,0.856,0.356,0,0.5,0,2,1,43,43,28,2,0,0,0,291.1,169,3,36,26,56,487,0.8,0.261,0.77,7.1,0.1,5.2,1.7,15,8.7,0,0,0,0,0.62,0,20,17.6,Impossible,Impossible,Average,Career,
29068,CF,37,Jim Brewster,,21,USA,"South Bend, IN","5' 10""",165 lbs,Right,Right,Grange College,-,Great,CO Junior,1,EX FB,80-83,4-Mar,Normal,117,117,590,522,151,28,14,15,96,113,47,45,57,0.289,0.359,0.483,101.9,7,0.193,0.361,0.842,0.292,0,2.3,0,67,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$1k,Easy,Average,Career,
29581,SS,18,Bob Brown,,17,USA,"Jersey City, NJ","6' 0""",155 lbs,Right,Right,Tullytown,Fitchburg State,Average,HS Senior,1,EX FB,85-87,4-Mar,Normal,92,92,466,391,171,50,21,8,112,128,48,20,79,0.437,0.507,0.734,156.1,16.1,0.297,0.508,1.241,0.443,0,7.8,0,89,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
29493,SP,5,Bud Brown,,17,USA,"Collingswood, NJ","5' 10""",140 lbs,Right,Right,St. Peter's Boys,Highland College,Average,HS Senior,3,NEU,84-86,4-Mar,Normal,18,18,97,84,32,9,3,0,22,25,4,8,12,0.381,0.404,0.56,18.7,7.5,0.179,0.394,0.964,0.4,0,0.7,0,16,8,52,52,26,10,0,0,0,363.2,305,7,102,91,132,389,2.25,0.267,1.2,10.9,0.2,7.5,3.3,9.6,2.9,0,0,0,0,2.42,0,13.2,13.8,$2k,Hard,Average,Career,
29077,LF,22,Charlie Brown,,18,USA,"Richmond, VA","5' 7""",140 lbs,Right,Right,Armstrong,Penn Catholic,Average,HS Senior,1,NEU,85-87,4-Mar,Normal,44,44,225,184,82,26,1,5,57,67,33,12,32,0.446,0.531,0.679,73.9,18.1,0.234,0.512,1.211,0.453,0,3.8,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$3k,Normal,Average,Career,
29537,CF,23,Chick Brown,,18,USA,"Bayonne, NJ","6' 0""",165 lbs,Right,Right,Meriden,Coastal California,Average,HS Senior,1,FB,80-83,OTT,Normal,94,94,479,393,174,34,8,17,110,169,65,30,59,0.443,0.531,0.7,162,17.2,0.257,0.516,1.23,0.45,0,8.3,0,87,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
29075,3B,7,Freddy Brown,Downtown,21,USA,"Conneaut, OH","5' 10""",180 lbs,Right,Right,Lakeland State,-,Average,CO Junior,1,EX FB,84-86,4-Mar,Normal,90,90,453,401,112,12,0,5,68,78,43,39,17,0.279,0.35,0.347,55,4.9,0.067,0.315,0.697,0.298,0,-0.1,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Easy,Average,Career,
29251,SP,8,Johnny Brown,,17,USA,"Portland, OR","6' 0""",165 lbs,Right,Right,Washington,Lane State,Average,HS Senior,3,NEU,86-88,OTT,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,24,5,0,0,0,296.1,212,6,57,52,88,416,1.58,0.27,1.01,9.3,0.2,6.4,2.7,12.6,4.7,0,0,0,0,1.6,0,14.9,14.9,$2k,Extremely Hard,Average,Career,
29601,SP,8,Lew Brown,,17,USA,"Palmerton, PA","6' 2""",170 lbs,Right,Right,Anamosa,Plantations College,Average,HS Senior,3,FB,85-87,OTT,Normal,45,45,226,215,74,15,2,3,48,70,4,19,20,0.344,0.359,0.474,37.4,6.8,0.13,0.356,0.833,0.364,0,0.8,0,4,2,60,60,31,12,0,0,0,435.2,360,12,114,106,150,473,2.19,0.261,1.17,10.7,0.2,7.4,3.1,9.8,3.2,0,0,0,0,2.47,0,15.5,17.7,$2k,Extremely Hard,Average,Career,
29358,SP,9,Ray Brown,,22,USA,"Baltimore, MD","5' 8""",155 lbs,Right,Right,Carolina Poly,-,Great,CO Senior,6,NEU,87-89,SIDE,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,12,22,0,0,0,318,362,29,217,208,242,215,5.89,0.306,1.9,17.2,0.8,10.2,6.8,6.1,0.9,0,0,0,0,5.35,0,-0.5,-1.5,Slot,Very Easy,Average,Career,
29613,RF,16,King Brucker,,17,USA,"Dallas, TX","6' 0""",160 lbs,Left,Left,Waco,Bayou State College,Average,HS Senior,1,NEU,85-87,4-Mar,Normal,98,98,499,427,215,55,25,16,137,195,48,20,96,0.504,0.564,0.862,219.1,24.1,0.358,0.585,1.425,0.504,0,11.7,0,80,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$21k,Extremely Hard,Average,Career,
29248,SP,20,Stan Brueck,,17,USA,"Sauk Rapids, MN","6' 0""",160 lbs,Right,Right,St. Peter,Minnesota Northern,Average,HS Senior,5,GB,84-86,4-Mar,GB'er,22,22,114,110,43,9,2,2,27,41,2,7,13,0.391,0.395,0.564,23.9,8.7,0.173,0.409,0.958,0.398,0,0.9,0,9,5,41,41,27,3,0,0,0,303.2,216,5,50,46,73,417,1.36,0.268,0.95,8.6,0.1,6.4,2.2,12.4,5.7,0,0,0,0,1.41,0,16.4,16.7,$2k,Extremely Hard,Average,Career,
30918,SP,27,Fred Bryant,,20,USA,"Lewiston, NY","5' 10""",150 lbs,Left,Left,Maryland State,-,Great,CO Junior,2,FB,91-93,4-Mar,Normal,55,55,280,266,92,15,0,1,59,66,5,24,16,0.346,0.361,0.414,40.8,5.8,0.068,0.339,0.775,0.373,0,0.5,0,20,9,107,107,41,32,0,0,0,726,679,57,317,301,370,750,3.73,0.281,1.44,13.2,0.7,8.4,4.6,9.3,2,0,0,0,0,3.74,0,13.9,15,Slot,Normal,Average,Career,
30915,3B,11,Jake Buck,,20,USA,"Washington, DC","5' 9""",160 lbs,Left,Right,Grange College,-,Great,CO Junior,1,FB,80-83,4-Mar,Normal,273,273,1378,1134,363,59,8,38,246,315,175,124,105,0.32,0.428,0.487,289.5,9.5,0.167,0.403,0.915,0.33,0,10.3,0,179,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$700 ,Normal,Average,Career,
30543,SP,2,Bob Burdick,,21,USA,"Wheeling, WV","6' 0""",180 lbs,Switch,Right,Maryland State,-,Great,CO Junior,3,NEU,84-86,4-Mar,Normal,68,68,346,329,124,27,3,3,73,98,10,25,33,0.377,0.398,0.505,67.9,8.5,0.128,0.391,0.903,0.399,0,2.3,0,15,6,93,93,36,34,0,0,0,679.1,735,37,351,330,338,380,4.37,0.285,1.58,14.4,0.5,9.7,4.5,5,1.1,0,0,0,0,4.33,0,7.3,8.3,$950 ,Hard,Average,Career,
30175,SP,15,Pat Burnett,,20,USA,"Manville, NJ","6' 10""",225 lbs,Right,Right,Chesapeake State,-,Great,CO Junior,3,FB,84-86,4-Mar,Normal,32,32,160,147,56,8,2,3,33,43,4,10,13,0.381,0.403,0.524,30.6,7.8,0.143,0.387,0.926,0.393,0,1,0,16,8,82,82,27,33,0,0,0,571.1,572,34,260,250,267,501,3.94,0.301,1.47,13.4,0.5,9,4.2,7.9,1.9,0,0,0,0,3.69,0,10.7,10.3,$900 ,Hard,Average,Career,
30921,LF,4,Tommy Burt,,21,USA,"Richmond, VA","6' 0""",175 lbs,Right,Right,Darnell State,-,Great,CO Junior,1,FB,85-87,4-Mar,Normal,259,259,1311,1136,368,62,4,28,245,304,138,92,94,0.324,0.4,0.46,227.3,7.5,0.136,0.377,0.859,0.33,0,6.9,0,48,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average,Career,
29265,SP,24,Paul Burton,,17,USA,"Valparaiso, IN","6' 3""",170 lbs,Right,Right,Valparaiso,Western Iowa,Average,HS Senior,4,NEU,85-87,4-Mar,Normal,21,21,108,105,37,9,2,0,20,33,1,6,11,0.352,0.358,0.476,17.5,6.4,0.124,0.356,0.835,0.374,0,0.4,0,8,4,39,39,23,4,0,0,0,273.1,168,5,42,35,72,446,1.15,0.264,0.88,8,0.2,5.5,2.4,14.7,6.2,0,0,0,0,1,0,17,15.5,$4k,Extremely Hard,Average,Career,
29503,SS,33,William Buttry,,17,USA,"Laurel, MS","5' 10""",145 lbs,Right,Right,Paris,Marquis College,Average,HS Senior,1,NEU,84-86,4-Mar,Normal,98,98,495,427,208,49,6,12,118,183,38,20,67,0.487,0.538,0.714,176.6,19.5,0.227,0.525,1.252,0.489,0,9,0,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$3k,Extremely Hard,Average,Career,
29089,2B,12,Buddy Byrd,Tweety,18,USA,"New York, NY","5' 10""",155 lbs,Right,Right,Lane,Empire State-Albany,Average,HS Senior,1,NEU,84-86,4-Mar,Normal,52,52,265,234,128,27,13,3,76,99,16,4,43,0.547,0.579,0.812,128.4,28.9,0.265,0.574,1.391,0.543,0,6,0,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$35k,Extremely Hard,Average,Career,
29073,RF,26,John Byrd,,18,USA,"Kansas City, MO","6' 4""",190 lbs,Left,Left,Lodi,Bay State,Average,HS Senior,1,NEU,80-83,4-Mar,Normal,47,47,237,209,108,27,10,1,59,81,18,5,38,0.517,0.556,0.756,96.6,22.7,0.239,0.548,1.312,0.519,0,4.8,0,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$2k,Extremely Hard,Average,Career,
29497,SP,33,Bill Byrnes,,17,USA,"Knoxville, TN","6' 0""",160 lbs,Left,Left,Demorest,Campion,Average,HS Senior,5,NEU,85-87,OTT,Normal,10,10,54,48,19,8,2,0,10,17,1,4,10,0.396,0.404,0.646,12.6,9.7,0.25,0.419,1.05,0.413,0,0.5,0,4,2,62,62,40,5,0,0,0,462.1,319,8,73,64,95,641,1.25,0.261,0.9,8.2,0.2,6.2,1.8,12.5,6.7,0,0,0,0,1.31,0,25.9,25.9,$2k,Extremely Hard,Average,Career,
30196,RF,14,Joe Cahill,,20,USA,"Chicago, IL","6' 3""",200 lbs,Left,Left,Central Kentucky,-,Great,CO Junior,1,EX FB,84-86,4-Mar,Normal,204,204,1028,879,274,51,4,38,198,235,122,80,93,0.312,0.398,0.509,196.2,8.3,0.197,0.391,0.907,0.307,0,6.7,0,52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$950 ,Hard,Average,Career,
